id,provider,region,instance_type,probe_kind,meta_policy,max_minutes,policy_version,instance_id,outcome,start_time_utc,end_time_utc,duration_minutes,interrupted,interrupt_bin,survived_hours,spot_price_usd,price_delta_6h,sampling_propensity,pred_h1_at_launch,pred_risk_5h_at_launch,features_snapshot,created_at,source,topup_reason
6906,aws,us-east-1,t3a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0656919507b5fa27c,Censored (Stopped by Design),2026-02-17 23:02:44.966908+00,2026-02-18 00:02:57.598321+00,60.21,false,,1,0.0319,-0.005,1,0.253401760264327,,"{""launch_dow"":1,""launch_utc_hour"":23,""price_zscore_6h"":-0.9615384615384617,""launch_local_hour"":23}",2026-02-18 00:02:58.522735+00,topup,
6907,aws,us-east-1,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-02e2427c472bab389,Censored (Stopped by Design),2026-02-17 23:02:50.065319+00,2026-02-18 00:03:03.025704+00,60.22,false,,1,0.0437,0.0024,1,0.00673145307657729,,"{""launch_dow"":1,""launch_utc_hour"":23,""price_zscore_6h"":0.923076923076923,""launch_local_hour"":23}",2026-02-18 00:03:03.83619+00,topup,
6908,aws,us-east-1,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0c5656f36b2cccf07,Censored (Stopped by Design),2026-02-17 23:02:55.233037+00,2026-02-18 00:03:07.961209+00,60.21,false,,1,0.0437,0.0024,1,0.00781305664694617,,"{""launch_dow"":1,""launch_utc_hour"":23,""price_zscore_6h"":0.923076923076923,""launch_local_hour"":23}",2026-02-18 00:03:08.664989+00,topup,
6909,aws,us-east-1,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0c6be14e63cdfac4e,Censored (Stopped by Design),2026-02-17 23:03:00.200811+00,2026-02-18 00:03:12.691017+00,60.21,false,,1,0.0437,0.0024,1,0.00763746558755621,,"{""launch_dow"":1,""launch_utc_hour"":23,""price_zscore_6h"":0.923076923076923,""launch_local_hour"":23}",2026-02-18 00:03:13.379568+00,topup,
6910,aws,us-east-1,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-00975c039f7437efc,Censored (Stopped by Design),2026-02-17 23:03:05.222175+00,2026-02-18 00:03:17.452114+00,60.2,false,,1,0.0437,0.0024,1,0.00667404123994167,,"{""launch_dow"":1,""launch_utc_hour"":23,""price_zscore_6h"":0.923076923076923,""launch_local_hour"":23}",2026-02-18 00:03:18.125125+00,topup,
6911,aws,us-west-2,c6i.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0d1f9d12f356010d0,Censored (Stopped by Design),2026-02-17 23:03:10.678903+00,2026-02-18 00:03:23.481196+00,60.21,false,,1,0.0425,0.0034,1,0.200811300621724,,"{""launch_dow"":1,""launch_utc_hour"":23,""price_zscore_6h"":0.9444444444444444,""launch_local_hour"":23}",2026-02-18 00:03:24.153485+00,topup,
6912,aws,us-west-2,c6i.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0b27f24b75fd0998a,Censored (Stopped by Design),2026-02-17 23:03:13.037885+00,2026-02-18 00:03:29.321199+00,60.27,false,,1,0.0425,0.0034,1,0.195177274884158,,"{""launch_dow"":1,""launch_utc_hour"":23,""price_zscore_6h"":0.9444444444444444,""launch_local_hour"":23}",2026-02-18 00:03:30.249826+00,topup,
6913,aws,us-west-2,c6i.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-06ae7e158873c2911,Censored (Stopped by Design),2026-02-17 23:03:18.691284+00,2026-02-18 00:03:34.587967+00,60.26,false,,1,0.0425,0.0034,1,0.203901425155973,,"{""launch_dow"":1,""launch_utc_hour"":23,""price_zscore_6h"":0.9444444444444444,""launch_local_hour"":23}",2026-02-18 00:03:35.193679+00,topup,
6914,aws,us-west-2,c6i.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-033d7b2967d7ab7fa,Censored (Stopped by Design),2026-02-17 23:03:23.951563+00,2026-02-18 00:03:39.286034+00,60.26,false,,1,0.0425,0.0034,1,0.200197932166377,,"{""launch_dow"":1,""launch_utc_hour"":23,""price_zscore_6h"":0.9444444444444444,""launch_local_hour"":23}",2026-02-18 00:03:39.901748+00,topup,
6939,aws,us-east-1,t3a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-001876b6357d7b1f6,Censored (Stopped by Design),2026-02-18 00:05:26.87475+00,2026-02-18 01:05:36.72121+00,60.16,false,,1,0.0279,-0.0079,1,0.187323563483281,,"{""launch_dow"":2,""launch_utc_hour"":0,""price_zscore_6h"":-0.9753086419753085,""launch_local_hour"":0}",2026-02-18 01:05:37.246508+00,topup,
